id,name,type,route,route_exists,file
SS-001,Marketplace Architect,worldview,,False,
SS-002,Strategic Foresight–Architecture Framework,master_framework,,False,
SS-003,Strategic Foresight,concept,/Thesegunsamuel/frameworks/strategic-foresight/,True,frameworks/strategic-foresight/index.html
SS-004,Pattern Intelligence,concept,/Thesegunsamuel/frameworks/pattern-intelligence/,True,frameworks/pattern-intelligence/index.html
SS-005,Strategic Architecture,concept,,False,
SS-006,Execution Intelligence,concept,/Thesegunsamuel/frameworks/execution-intelligence/,True,frameworks/execution-intelligence/index.html
SS-007,Institutional Intelligence,concept,/Thesegunsamuel/frameworks/institutional-intelligence/,True,frameworks/institutional-intelligence/index.html
SS-008,TECHSPIBUS,framework,,False,
SS-009,IBONK,system,/Thesegunsamuel/frameworks/ibonk/,True,frameworks/ibonk/index.html
SS-010,The Prepared Mind Method™,method,/Thesegunsamuel/models/the-prepared-mind-method/,True,models/the-prepared-mind-method/index.html
SS-011,PLAN Framework,method,/Thesegunsamuel/models/plan-strategic-framework/,True,models/plan-strategic-framework/index.html
SS-012,Five-Stage Intelligence Architecture,model,,False,
WW-001,The War Within — 17 Battles,book,/Thesegunsamuel/books/the-war-within/,True,books/the-war-within/index.html
WW-002,Stage I — Awakening,stage,,False,
WW-003,Stage II — Purging,stage,,False,
WW-004,Stage III — Structuring,stage,,False,
WW-005,Stage IV — Reprogramming,stage,,False,
WW-006,Stage V — Ascension,stage,,False,
WW-101,Battle 1 — The Blind Warrior,battle,,False,
WW-102,Battle 2 — The Mask of Confusion,battle,,False,
WW-103,Battle 3 — The Draining Spiral,battle,,False,
WW-104,Battle 4 — The Poisoned Heart,battle,,False,
WW-105,Battle 5 — The Closed Heaven,battle,,False,
WW-106,Battle 6 — The Tongue and the Trade,battle,,False,
WW-107,Battle 7 — Broken Bridges,battle,,False,
WW-108,Battle 8 — The Invisible Prison,battle,,False,
WW-109,Battle 9 — When the Spirit Starves,battle,,False,
WW-110,Battle 10 — The Neglected Temple,battle,,False,
WW-111,Battle 11 — The Inner Saboteur,battle,,False,
WW-112,Battle 12 — The Isolation Trap,battle,,False,
WW-113,Battle 13 — The Comfort Trap,battle,,False,
WW-114,Battle 14 — The Starved Mind,battle,,False,
WW-115,Battle 15 — The Fallen Crown,battle,,False,
WW-116,Battle 16 — The Leaking Purse,battle,,False,
WW-117,Battle 17 — The Execution Gap,battle,,False,
WW-IP-01,TEA™,framework,/Thesegunsamuel/frameworks/tea/,True,frameworks/tea/index.html
WW-IP-02,FIAGS™,system,,False,
WW-IP-03,5PTES™,framework,,False,
WW-IP-04,Personal Identity Statement,tool,,False,
WW-IP-05,Purpose–Calling–Destiny–Vision–Goals,concept,,False,
WW-IP-06,Relational Architecture,model,,False,
WW-IP-07,Physical Stewardship Architecture,model,,False,
WW-IP-08,Limiting-Belief Diagnostic,diagnostic,,False,
WW-IP-09,Social Mastery Architecture,model,,False,
WW-IP-10,Comfort Addiction Diagnostic,diagnostic,,False,
WW-IP-11,Learning / Intellectual Architecture,model,,False,
WW-IP-12,Financial Stewardship Architecture,framework,,False,
WW-IP-13,Execution Gap,model,,False,
PLAT-001,Courses,course,,False,
PLAT-002,Masterclasses,masterclass,,False,
PLAT-003,Learning Paths,learning_path,,False,
PLAT-004,Case Studies,case_study,,False,
PLAT-005,Applications / Projects,application,,False,
PLAT-006,Podcast,podcast,,False,
PLAT-007,Insights / Articles,insight,,False,
PLAT-008,Events,event,,False,
PLAT-009,Community,community,,False,
PLAT-010,AI Prompts / AI Systems,tool,,False,
PLAT-011,Explore / Knowledge Graph,graph,,False,
PLAT-012,Consulting,service,,False,
PLAT-013,Speaking,service,,False,
PLAT-014,Software / Tools,tool,,False,
